admin,admin123,Admin,System Administrator,ADMIN001,
azra.celik,pass123,Student,Azra Çelik,202374324,
doruk.kurt,pass123,Student,Doruk Kurt,202374900,
zeynep.yilmaz,pass123,Student,Zeynep Yılmaz,202374892,
kerem.erten,pass123,Student,Kerem Erten,202374360,
gokce.tekin,pass123,Student,Gökçe Tekin,202374018,
onur.celik,pass123,Student,Onur Çelik,202374072,
zeynep.cakir,pass123,Student,Zeynep Çakır,202374018,
damla.avci,pass123,Student,Damla Avcı,202374054,
gizem.cetin,pass123,Student,Gizem Çetin,202374405,
buse.yaman,pass123,Student,Buse Yaman,202374162,
bora.kilic,pass123,Student,Bora Kılıç,202374694,
irem.simsek,pass123,Student,İrem Şimşek,202374577,
can.tekin,pass123,Student,Can Tekin,202374955,
beren.kaya,pass123,Student,Beren Kaya,202374054,
ece.kurt,pass123,Student,Ece Kurt,202374162,
fatma.ozbek,pass123,Student,Fatma Özbek,202374568,
burak.kurt,pass123,Student,Burak Kurt,202374739,
melis.erdem,pass123,Student,Melis Erdem,202374289,
irem.kurt,pass123,Student,İrem Kurt,202374702,
utku.gunes,pass123,Student,Utku Güneş,202374072,
burak.ozbek,pass123,Student,Burak Özbek,202374469,
simge.can,pass123,Student,Simge Can,202374081,
simge.ozturk,pass123,Student,Simge Öztürk,202366972,
mert.sari,pass123,Student,Mert Sarı,202366233,
azra.sari,pass123,Student,Azra Sarı,202366594,
berk.yigit,pass123,Student,Berk Yiğit,202366008,
emre.simsek,pass123,Student,Emre Şimşek,202366486,
kerem.aslan,pass123,Student,Kerem Aslan,202366611,
yigit.yilmaz,pass123,Student,Yiğit Yılmaz,202366459,
gokce.erdem,pass123,Student,Gökçe Erdem,202366918,
azra.ozdemir,pass123,Student,Azra Özdemir,202366099,
gokce.aydin,pass123,Student,Gökçe Aydın,202366404,
beren.polat,pass123,Student,Beren Polat,202366675,
yigit.cetin,pass123,Student,Yiğit Çetin,202366972,
burak.avci,pass123,Student,Burak Avcı,202366576,
duru.erten,pass123,Student,Duru Erten,202366279,
buse.yildirim,pass123,Student,Buse Yıldırım,202366071,
mert.kaplan,pass123,Student,Mert Kaplan,202366189,
buse.yigit,pass123,Student,Buse Yiğit,202366152,
fatma.aydin,pass123,Student,Fatma Aydın,202366567,
mert.can,pass123,Student,Mert Can,202366503,
can.user10,pass123,Student,Can Can,202366945,
buse.dogan,pass123,Student,Buse Doğan,202366765,
simge.uzun,pass123,Student,Simge Uzun,202366747,
selin.arslan,pass123,Student,Selin Arslan,202366341,
irem.yildirim,pass123,Student,İrem Yıldırım,202366927,
doruk.can,pass123,Student,Doruk Can,202366035,
buse.bulut,pass123,Student,Buse Bulut,202366657,
bora.aktas,pass123,Student,Bora Aktaş,202366468,
ahmet.korkmaz,pass123,Student,Ahmet Korkmaz,202366008,
beren.uysal,pass123,Student,Beren Uysal,202366611,
deniz.kurt,pass123,Student,Deniz Kurt,202366404,
ahmet.yigit,pass123,Student,Ahmet Yiğit,202366486,
gizem.kaplan,pass123,Student,Gizem Kaplan,202366567,
burak.aksoy,pass123,Student,Burak Aksoy,202377178,
duru.koc,pass123,Student,Duru Koç,202377457,
emir.avci,pass123,Student,Emir Avcı,202377718,
doruk.yilmaz,pass123,Student,Doruk Yılmaz,202377880,
onur.erdem,pass123,Student,Onur Erdem,202377312,
arda.avci,pass123,Student,Arda Avcı,202377303,
damla.koc,pass123,Student,Damla Koç,202377411,
ayse.ozdemir,pass123,Student,Ayşe Özdemir,202377132,
tugba.erten,pass123,Student,Tuğba Erten,202377259,
onur.koc,pass123,Student,Onur Koç,202377565,
yigit.celik,pass123,Student,Yiğit Çelik,202377808,
simge.demir,pass123,Student,Simge Demir,202377529,
mehmet.bulut,pass123,Student,Mehmet Bulut,202377826,
ayse.karadeniz,pass123,Student,Ayşe Karadeniz,202377484,
bora.dogan,pass123,Student,Bora Doğan,202377187,
yigit.uysal,pass123,Student,Yiğit Uysal,202377114,
yigit.cakir,pass123,Student,Yiğit Çakır,202377114,
irem.arslan,pass123,Student,İrem Arslan,202377277,
utku.dogan,pass123,Student,Utku Doğan,202377105,
berk.yaman,pass123,Student,Berk Yaman,202377790,
utku.koc,pass123,Student,Utku Koç,202377141,
alara.cakir,pass123,Student,Alara Çakır,202377042,
emir.aydin,pass123,Student,Emir Aydın,202377277,
ahmet.arslan,pass123,Student,Ahmet Arslan,202377088,
alara.sari,pass123,Student,Alara Sarı,202377150,
gokce.ozbek,pass123,Student,Gökçe Özbek,202377970,
gizem.ozdemir,pass123,Student,Gizem Özdemir,202380110,
azra.koc,pass123,Student,Azra Koç,202380831,
azra.aktas,pass123,Student,Azra Aktaş,202380372,
alara.ozturk,pass123,Student,Alara Öztürk,202380714,
oguz.ozdemir,pass123,Student,Oğuz Özdemir,202380363,
doruk.ozcan,pass123,Student,Doruk Özcan,202380921,
oguz.simsek,pass123,Student,Oğuz Şimşek,202380705,
buse.ozkan,pass123,Student,Buse Özkan,202380732,
mert.ozbek,pass123,Student,Mert Özbek,202380363,
azra.polat,pass123,Student,Azra Polat,202380895,
utku.celik,pass123,Student,Utku Çelik,202380895,
burak.yaman,pass123,Student,Burak Yaman,202380543,
melis.karadeniz,pass123,Student,Melis Karadeniz,202380444,
azra.kurt,pass123,Student,Azra Kurt,202380057,
deniz.yigit,pass123,Student,Deniz Yiğit,202380660,
doruk.ozkan,pass123,Student,Doruk Özkan,202380002,
tugba.gunes,pass123,Student,Tuğba Güneş,202380282,
zeynep.simsek,pass123,Student,Zeynep Şimşek,202380525,
onur.yigit,pass123,Student,Onur Yiğit,202380057,
mert.yildirim,pass123,Student,Mert Yıldırım,202380462,
ayse.erten,pass123,Student,Ayşe Erten,202380804,
zeynep.erten,pass123,Student,Zeynep Erten,202380778,
bora.yildiz,pass123,Student,Bora Yıldız,202380291,
oguz.celik,pass123,Student,Oğuz Çelik,202380589,
tolga.ozdemir,pass123,Student,Tolga Özdemir,202380336,
fatma.aslan,pass123,Student,Fatma Aslan,202380363,
kerem.dogan,pass123,Student,Kerem Doğan,202380499,
deniz.can,pass123,Student,Deniz Can,202380859,
sinan.dogan,pass123,Student,Sinan Doğan,202380354,
pelin.deneme,deneme,Instructor,Pelin Deneme,INST012,
sevgi.guler,pass123,Instructor,Sevgi Güler,INS-26-053,
selim.ozturk,pass123,Instructor,Selim Öztürk,INS-26-054,BA
selin.aydogan,pass123,Instructor,Selin Aydoğan,INS-26-055,PSY
